คุณภาพน้ำทะเล,ชายฝั่งทะเล,ปี,จำนวน
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2541,4.0 - 5.0
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2542,4.8 - 6.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2543,5.6 - 7.9
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2544,4.6 - 6.2
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2545,         5.4 - 8.0
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2546,5.5-6.9
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2547,6.9-9.3
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2548,5.2 - 6.0
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2549,5.2 - 8.1
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2550,5.6 - 6.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2551,4.92 - 6.3
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2552,1.31 - 7.51
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2553,1.27-5.36
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2554,0.12 - 7.70
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2555,4.40-5.87
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2556,2.58 - 4.97
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2557,3.99 - 5.56
ปริมาณออกซิเจนละลายน้ำมก./ล.,    อ่าวชลบุรี,2558,4.62 - 5.23
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2541,4.7 - 6.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2542,7.1 - 8.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2543,6.3 - 6.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2544,3.5 - 7.4
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2545,         5.2 - 6.2
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2546,6.4-7.4
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2547,3.9-7.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2548,4.6 - 5.7
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2549,6.4 - 7.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2550,6.6 - 7.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2551,6.3 - 7.02
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2552,6.38 - 6.97
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2553,4.73-8.03
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2554,4.47 - 6.49
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2555,6.09-6.41
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2556,3.45-7.02
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2557,5.90 - 6.50
ปริมาณออกซิเจนละลายน้ำมก./ล.,    หาดบางแสน,2558,5.25 - 7.56
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2541,4.0 - 6.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2542,6.5 - 7.9
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2543,6.6 - 8.0
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2544,3.4 - 6.4
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2545,5.8
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2546,5.3-5.6
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2547,3.3-6.9
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2548,8.0 - 8.5
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2549,7.2 - 8.5
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2550,5.1 - 6.9
ปริมาณออกซิเจนละลายน้ำมก./ล.,    ศรีราชา,2551,5.49 - 5.8
