location,คุณภาพน้ำทะเล,ปี,จำนวน,lat,lng
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2541,4.9 - 8.0,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,3.8 - 5.9,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,5.0 - 6.0,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,5.0 - 9.0,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,5.0 - 7.0,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,5.1 - 7.69,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2553,4.10-7.50,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2554,4.2 - 7.7,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2555,4.33-6.58,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,4.20-6.34,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,6.05 - 6.13,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,4.84 - 7.4,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,5.4-7,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,5.2-7.1,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,4.8 - 6.8,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,5.0 - 8.2,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2550,3.0 - 7.8,7.253042,99.456482
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,5.58 - 7.70,7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2541,"< 2 - 24,000",7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2542,"< 2 - 2,400",7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2543,< 2 - 490,7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2544,0 - 9,7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2545,<2,7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2546,"<3-2,400",7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2547,"9-92,000",7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2548,"< 2 - 24,000",7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2549,"< 2 - 13,000",7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2550,"2.0 - 24,000",7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2551,"1.8 -35,000",7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2552,"<1.8 - 35,000",7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2553,"<1.8-2,400",7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2554,"46 - 92,000",7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2555,"<1.0-1,300",7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2556,"2 - 7,900",7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2557,<1,7.253042,99.456482
กระบี่ - สตูล,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2558,"<1.8 - 2,800",7.253042,99.456482
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2541,3.1 - 6.4,12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2541,"< 2 - > 16,000",12.374657,102.154999
จันทบุรี - ตราด,แบคทีเรียกลุ่มโคลิฟอร์มเอ็มพีเอ็น/100 มล.,2542,"17 - > 2,400",12.374657,102.154999
