location,คุณภาพน้ำทะเล,ปี,จำนวน,lat,lng,min,max,avg
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2541,4.9 - 8.0,7.253042,99.456482,4.9 , 8.0,6.45
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,3.8 - 5.9,7.253042,99.456482,3.8 , 5.9,4.85
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,5.0 - 6.0,7.253042,99.456482,5.0 , 6.0,5.5
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,5.0 - 9.0,7.253042,99.456482,5.0 , 9.0,7
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,5.0 - 7.0,7.253042,99.456482,5.0 , 7.0,6
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,5.1 - 7.69,7.253042,99.456482,5.1 ,7.69,6.395
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2553,4.10-7.50,7.253042,99.456482,4.10,7.50,5.8
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2554,4.2 - 7.7,7.253042,99.456482,4.2 , 7.7,5.95
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2555,4.33-6.58,7.253042,99.456482,4.33,6.58,5.455
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,4.20-6.34,7.253042,99.456482,4.20,6.34,5.27
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,6.05 - 6.13,7.253042,99.456482,6.05 , 6.13,6.09
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,4.84 - 7.4,7.253042,99.456482,4.84 , 7.4,6.12
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,5.4-7,7.253042,99.456482,5.4,47,26.2
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,5.2-7.1,7.253042,99.456482,5.2,7.1,6.15
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,4.8 - 6.8,7.253042,99.456482,4.8 , 6.8,5.8
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,5.0 - 8.2,7.253042,99.456482,5.0 , 8.2,6.6
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2550,3.0 - 7.8,7.253042,99.456482,3.0 , 7.8,5.4
กระบี่ - สตูล,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,5.58 - 7.70,7.253042,99.456482,5.58 , 7.70,6.64
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2541,4.24-5.73,12.374657,102.154999,4.24, 6.4,5.32
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2542,4.4-8.7,12.374657,102.154999,4.4, 6.9,5.65
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2543,7.9 - 8.6,12.374657,102.154999,7.9 , 7.3,7.6
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2544,4.9 - 7.2,12.374657,102.154999,4.9 , 8.3,6.6
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2545,5.1 - 8.0,12.374657,102.154999,5.1 ,6.6,5.85
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2546,5.14 - 7.92,12.374657,102.154999,5.14 ,6.8,5.97
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2547,4.73 - 7.62,12.374657,102.154999,4.73 , 6.8,5.765
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2548,2.70-7.80,12.374657,102.154999,2.70, 7.6,5.15
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2549,3.60 - 6.50,12.374657,102.154999,3.60 , 7.7,5.65
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2550,5.87 - 7.70,12.374657,102.154999,5.87 ,7.7,6.785
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2551,5.37 - 7.38,12.374657,102.154999,5.37 , 6.92,6.145
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2552,5.76-7.5,12.374657,102.154999,5.76,7.25,6.505
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2553,5.0 - 6.6,12.374657,102.154999,5.0 ,6.20,5.6
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2554,4.5 - 7.3,12.374657,102.154999,4.5 ,8.28,6.39
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2555,4.1 - 7.4,12.374657,102.154999,4.1 , 7.25,5.675
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,5.1 - 6.9,12.374657,102.154999,5.1 , 7.43,6.265
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,4.6-6.3,12.374657,102.154999,4.6, 6.23,5.415
จันทบุรี - ตราด,ปริมาณออกซิเจนละลายน้ำมก./ล.,2558,4.4-8.2,12.374657,102.154999,4.4, 6.5,5.45
ปากน้ำระยอง,ปริมาณออกซิเจนละลายน้ำมก./ล.,2556,5.0 - 6.4,12.6660559,101.2598702,5.0 , 8.7,6.85
ปากน้ำระยอง,ปริมาณออกซิเจนละลายน้ำมก./ล.,2557,6.1 - 8.2,12.6660559,101.2598702,6.1 , 7.6,6.85
